8m_from-baselines/3m_rnn_qmix_unfreeze1.0_s0.5f0.05t50000,1.88,18.69,35394506.63,1438450.85,0.00,-0.01,258.61
8m_from-baselines/3m_rnn_qmix_unfreeze10.0_s0.5f0.05t50000,1.88,18.93,34457586.25,1346281.27,-0.03,-0.08,260.08
8m_from-baselines/3m_rnn_qmix_unfreeze1.0_s1f0.05t50000,1.88,18.62,35074486.31,1416673.23,-0.01,-0.02,257.02
8m_from-baselines/3m_rnn_qmix_unfreeze0.0_s0.5f0.05t50000,2.06,18.96,35733389.19,1485648.17,0.01,0.02,261.36
8m_from-baselines/3m_rnn_qmix_unfreeze10.0_s1f0.05t50000,1.69,18.82,34621603.92,1382270.48,-0.02,-0.05,258.70
8m_from-baselines/3m_rnn_qmix_unfreeze0.5_s0.5f0.05t50000,2.06,18.77,34942919.13,1393168.57,-0.01,-0.04,257.05
8m_from-baselines/3m_rnn_qmix_unfreeze0.0_s0.05f0.05t50000,1.50,18.52,35184345.73,1408766.51,-0.01,-0.03,259.37
8m_from-baselines/3m_rnn_qmix_unfreeze100.0_s1f0.05t50000,2.25,19.21,34706112.89,1380388.14,-0.02,-0.05,258.61
8m_from-baselines/3m_rnn_qmix_unfreeze10.0_s0.05f0.05t50000,1.50,18.77,35164611.33,1410209.61,-0.01,-0.03,260.38
8m_from-baselines/3m_rnn_qmix_unfreeze0.2_s0.05f0.05t50000,1.72,18.75,35641293.81,1457521.35,0.01,0.01,269.40
8m_from-baselines/3m_rnn_qmix_unfreeze0.5_s1f0.05t50000,1.88,18.33,35649781.72,1484284.05,0.01,0.02,258.58
8m_from-baselines/3m_rnn_qmix_unfreeze0.0_s1f0.05t50000,1.88,19.07,35873263.52,1506861.85,0.01,0.04,261.06
8m_from-baselines/3m_rnn_qmix_unfreeze1.0_s0.05f0.05t50000,1.69,18.51,34900042.11,1390691.71,-0.01,-0.04,257.37
8m_from-baselines/3m_rnn_qmix_unfreeze0.5_s0.05f0.05t50000,1.88,18.72,35079642.39,1398094.99,-0.01,-0.04,250.92
8m_from-baselines/3m_rnn_qmix_unfreeze0.2_s0.5f0.05t50000,2.44,18.68,35035582.24,1401520.77,-0.01,-0.03,264.43
8m_from-baselines/3m_rnn_qmix_unfreeze0.2_s1f0.05t50000,1.69,18.63,35640533.55,1478840.50,0.01,0.02,260.42
8m_from-baselines/3m_rnn_qmix_unfreeze100.0_s0.5f0.05t50000,1.69,17.56,32902615.38,1179760.95,-0.08,-0.23,253.83
8m_from-baselines/3m_rnn_qmix_unfreeze100.0_s0.05f0.05t50000,2.44,17.65,34094868.07,1298579.72,-0.04,-0.12,262.00
